Date Time RTD Vsamp
2020-02-24 16:46:06.729556 1113.17078 0.00194145
2020-02-24 16:46:06.773558 1113.17159 0.00194145
2020-02-24 16:46:06.814561 1113.1741 0.00194145
2020-02-24 16:46:06.845563 1113.17299 0.00194145
2020-02-24 16:46:06.878564 1113.17343 0.00194145
2020-02-24 16:46:06.918567 1113.17424 0.00194145
2020-02-24 16:46:06.961569 1113.17542 0.00194145
2020-02-24 16:46:07.010572 1113.17579 0.00194145
2020-02-24 16:46:07.037574 1113.17631 0.00194145
2020-02-24 16:46:07.072576 1113.17749 0.00194145
2020-02-24 16:46:07.115578 1113.178 0.00194145
2020-02-24 16:46:07.160581 1113.17822 0.00194145
2020-02-24 16:46:07.209583 1113.18014 0.00194145
2020-02-24 16:46:07.242585 1113.18191 0.00194145
2020-02-24 16:46:07.291588 1113.18375 0.00194145
2020-02-24 16:46:07.322590 1113.18441 0.00194145
2020-02-24 16:46:07.355592 1113.18419 0.00194145
2020-02-24 16:46:07.398594 1113.18537 0.00194145
2020-02-24 16:46:07.443597 1113.18567 0.00194145
2020-02-24 16:46:07.488599 1113.18648 0.00194145
2020-02-24 16:46:07.532602 1113.18655 0.00194145
2020-02-24 16:46:07.576604 1113.18714 0.00194145
2020-02-24 16:46:07.620607 1113.18891 0.00194145
2020-02-24 16:46:07.660609 1113.18854 0.00194145
2020-02-24 16:46:07.691611 1113.18921 0.00194145
2020-02-24 16:46:07.724613 1113.18996 0.00194145
2020-02-24 16:46:07.767615 1113.18931 0.00194145
2020-02-24 16:46:07.810618 1113.18881 0.00194145
2020-02-24 16:46:07.855620 1113.18897 0.00194145
2020-02-24 16:46:07.900623 1113.19053 0.00194145
2020-02-24 16:46:07.944625 1113.19194 0.00194145
2020-02-24 16:46:07.987628 1113.19245 0.00194145
2020-02-24 16:46:08.032630 1113.1937 0.00194145
2020-02-24 16:46:08.071633 1113.19591 0.00194145
2020-02-24 16:46:08.103635 1113.19621 0.00194145
