X3(V),Y3(V),f(Hz)
-2.8106816871818535e-07,6.115561825084703e-07,0.08517657657657658
-2.7568749787055614e-07,6.068975236563435e-07,0.08617747747747748
-2.7044962116077066e-07,6.022817170375124e-07,0.08717837837837837
-2.653499355211822e-07,5.977093469448774e-07,0.08817927927927928
-2.603840014919915e-07,5.931808996227676e-07,0.08918018018018017
-2.55547537569007e-07,5.886967711616255e-07,0.09018108108108108
-2.508364146772447e-07,5.842572748187073e-07,0.09118198198198198
-2.462466507779623e-07,5.798626478052007e-07,0.09218288288288289
-2.417744056149234e-07,5.755130575774427e-07,0.09318378378378378
-2.3741597560413524e-07,5.712086076673619e-07,0.09418468468468469
-2.3316778886996e-07,5.669493430848748e-07,0.09518558558558558
-2.2902640042933408e-07,5.627352553227e-07,0.09618648648648649
