Date_Time RTD Rsamp
2020-02-26 11:36:22.415189 1109.24253 39.8472144 
2020-02-26 11:36:22.475192 1109.2499 39.8478775 
2020-02-26 11:36:22.538196 1109.25462 39.8464776 
2020-02-26 11:36:22.628201 1109.25867 39.8452987 
2020-02-26 11:36:22.692204 1109.26692 39.8455198 
2020-02-26 11:36:22.759208 1109.27068 39.8450777 
2020-02-26 11:36:22.820212 1109.27768 39.8475091 
2020-02-26 11:36:22.903217 1109.2824 39.8464759 
2020-02-26 11:36:22.968220 1109.2894 39.8462531 
2020-02-26 11:36:23.035224 1109.2967 39.8463251 
2020-02-26 11:36:23.099228 1109.30245 39.8437446 
2020-02-26 11:36:23.187233 1109.30503 39.8427851 
2020-02-26 11:36:23.254237 1109.31608 39.8433728 
2020-02-26 11:36:23.321240 1109.32146 39.8432237 
2020-02-26 11:36:23.388244 1109.32766 39.8425589 
2020-02-26 11:36:23.469249 1109.33252 39.8447675 
2020-02-26 11:36:23.530252 1109.341 39.8424817 
2020-02-26 11:36:23.597256 1109.34549 39.8441763 
2020-02-26 11:36:23.658260 1109.3547 39.8455025 
2020-02-26 11:36:23.740264 1109.36008 39.8443974 
2020-02-26 11:36:23.807268 1109.36841 39.8455762 
2020-02-26 11:36:23.867272 1109.37387 39.8443237 
2020-02-26 11:36:23.927275 1109.38183 39.8445447 
2020-02-26 11:36:24.010280 1109.38618 39.8450605 
2020-02-26 11:36:24.070283 1109.39296 39.8448394 
2020-02-26 11:36:24.138287 1109.40121 39.8426291 
2020-02-26 11:36:24.198291 1109.406 39.8448394 
2020-02-26 11:36:24.283295 1109.4116 39.8445447 
2020-02-26 11:36:24.347299 1109.42207 39.8446921 
2020-02-26 11:36:24.414303 1109.43158 39.8446921 
2020-02-26 11:36:24.475306 1109.43828 39.8441763 
2020-02-26 11:36:24.557311 1109.44395 39.8447658 
2020-02-26 11:36:24.618315 1109.45455 39.8458709 
2020-02-26 11:36:24.683318 1109.45636 39.8462393 
2020-02-26 11:36:24.749322 1109.46509 39.8467551 
2020-02-26 11:36:24.832327 1109.47518 39.8476392 
2020-02-26 11:36:24.892330 1109.48138 39.8462393 
2020-02-26 11:36:24.958334 1109.48572 39.8466814 
2020-02-26 11:36:25.030338 1109.49324 39.8461656 
2020-02-26 11:36:25.117343 1109.49855 39.8474182 
2020-02-26 11:36:25.178347 1109.51159 39.8498496 
2020-02-26 11:36:25.246351 1109.5211 39.8509547 
2020-02-26 11:36:25.306354 1109.52781 39.8501443 
2020-02-26 11:36:25.387359 1109.53083 39.8502916 
2020-02-26 11:36:25.454362 1109.54211 39.8490391 
2020-02-26 11:36:25.520366 1109.54506 39.8494812 
2020-02-26 11:36:25.587370 1109.55383 39.8508811 
2020-02-26 11:36:25.669375 1109.56658 39.8511758 
2020-02-26 11:36:25.730378 1109.57129 39.8516915 
2020-02-26 11:36:25.791382 1109.5783 39.8505863 
2020-02-26 11:36:25.852385 1109.58412 39.8501443 
2020-02-26 11:36:25.939390 1109.59075 39.8508826 
2020-02-26 11:36:26.015395 1109.60159 39.8501474 
2020-02-26 11:36:26.069398 1109.61176 39.8490438 
2020-02-26 11:36:26.129401 1109.61426 39.8509609 
2020-02-26 11:36:26.216406 1109.62156 39.8502994 
2020-02-26 11:36:26.277410 1109.63107 39.8483853 
2020-02-26 11:36:26.341413 1109.63667 39.8470606 
2020-02-26 11:36:26.401417 1109.64588 39.8475779 
2020-02-26 11:36:26.488422 1109.6531 39.8495688 
2020-02-26 11:36:26.555425 1109.65952 39.8489073 
2020-02-26 11:36:26.616429 1109.66578 39.8486862 
2020-02-26 11:36:26.677432 1109.67463 39.8506755 
2020-02-26 11:36:26.759437 1109.67942 39.8519281 
2020-02-26 11:36:26.820441 1109.68882 39.8519281 
2020-02-26 11:36:26.886444 1109.69689 39.8540647 
2020-02-26 11:36:26.947448 1109.70299 39.855612 
2020-02-26 11:36:27.032453 1109.70783 39.8568645 
2020-02-26 11:36:27.096456 1109.71918 39.855612 
2020-02-26 11:36:27.163460 1109.72463 39.8541384 
2020-02-26 11:36:27.224464 1109.72861 39.8534753 
2020-02-26 11:36:27.306468 1109.73849 39.85377 
2020-02-26 11:36:27.367472 1109.74829 39.8540647 
2020-02-26 11:36:27.434476 1109.75492 39.8561277 
2020-02-26 11:36:27.495479 1109.76178 39.8564224 
2020-02-26 11:36:27.577484 1109.7721 39.8556857 
2020-02-26 11:36:27.638487 1109.78006 39.8557593 
2020-02-26 11:36:27.699491 1109.78713 39.8572329 
2020-02-26 11:36:27.766495 1109.79428 39.8601063 
2020-02-26 11:36:27.849499 1109.80313 39.8609168 
2020-02-26 11:36:27.910503 1109.81168 39.8612115 
2020-02-26 11:36:27.975507 1109.81639 39.8614326 
2020-02-26 11:36:28.043511 1109.81949 39.8608431 
2020-02-26 11:36:28.125515 1109.82664 39.8590749 
2020-02-26 11:36:28.185519 1109.83946 39.859959 
2020-02-26 11:36:28.253523 1109.8489 39.8586328 
2020-02-26 11:36:28.313526 1109.85258 39.8585591 
2020-02-26 11:36:28.395531 1109.86246 39.8570855 
2020-02-26 11:36:28.455534 1109.86747 39.8565698 
2020-02-26 11:36:28.517538 1109.87698 39.8567908 
2020-02-26 11:36:28.583541 1109.8825 39.8573066 
2020-02-26 11:36:28.665546 1109.89216 39.8592222 
2020-02-26 11:36:28.725550 1109.89953 39.8584854 
2020-02-26 11:36:28.785553 1109.90491 39.8566435 
