Date Time RTDl RTDr Vsamp
2020-07-08 12:35:26.207430 1092.31356 1092.43131 1.23623336e-06
2020-07-08 12:35:26.289434 1092.31651 1092.42675 1.04038356e-06
2020-07-08 12:35:26.364439 1092.31407 1092.42726 1.32843757e-06
2020-07-08 12:35:26.443443 1092.31415 1092.42505 1.06259333e-06
2020-07-08 12:35:26.528448 1092.31525 1092.42748 1.01682774e-06
2020-07-08 12:35:26.609453 1092.31481 1092.42645 7.77231425e-07
2020-07-08 12:35:26.679457 1092.31415 1092.42859 8.82896094e-07
2020-07-08 12:35:26.792463 1092.31378 1092.42652 1.00538635e-06
2020-07-08 12:35:26.869467 1092.31245 1092.42919 1.28132593e-06
2020-07-08 12:35:26.942472 1092.31186 1092.42944 1.20594731e-06
2020-07-08 12:35:27.024476 1092.31194 1092.43109 1.2719036e-06
2020-07-08 12:35:27.099481 1092.31186 1092.43072 1.30218965e-06
2020-07-08 12:35:27.174485 1092.31282 1092.43013 1.42400688e-06
2020-07-08 12:35:27.249489 1092.31349 1092.43005 1.49669341e-06
2020-07-08 12:35:27.329494 1092.31371 1092.42858 1.52630644e-06
2020-07-08 12:35:27.406498 1092.31407 1092.42976 1.33718687e-06
2020-07-08 12:35:27.476502 1092.31393 1092.42961 1.23084918e-06
2020-07-08 12:35:27.547506 1092.31349 1092.42976 1.16825789e-06
2020-07-08 12:35:27.618510 1092.31393 1092.42917 1.36074209e-06
2020-07-08 12:35:27.689514 1092.3143 1092.4305 1.33583986e-06
2020-07-08 12:35:27.773519 1092.31606 1092.43278 1.30286148e-06
2020-07-08 12:35:27.837523 1092.31452 1092.43182 1.23219404e-06
2020-07-08 12:35:27.893526 1092.31525 1092.433 1.25171172e-06
2020-07-08 12:35:27.972530 1092.31702 1092.43042 1.19652381e-06
2020-07-08 12:35:28.043535 1092.31562 1092.42998 1.32237916e-06
2020-07-08 12:35:28.109538 1092.31643 1092.43035 1.21604148e-06
2020-07-08 12:35:28.177542 1092.31437 1092.43013 1.14335497e-06
2020-07-08 12:35:28.244546 1092.31304 1092.4316 1.0026931e-06
2020-07-08 12:35:28.325551 1092.31275 1092.4305 8.52608911e-07
2020-07-08 12:35:28.435557 1092.31452 1092.43109 1.04442055e-06
2020-07-08 12:35:28.524562 1092.3126 1092.43079 1.03903636e-06
2020-07-08 12:35:28.602567 1092.31481 1092.43101 1.02894101e-06
2020-07-08 12:35:28.681571 1092.31702 1092.4302 1.05586194e-06
2020-07-08 12:35:28.754575 1092.31643 1092.43116 1.02153775e-06
2020-07-08 12:35:28.823579 1092.31754 1092.43249 1.15950753e-06
2020-07-08 12:35:28.884583 1092.31466 1092.43278 1.14537404e-06
2020-07-08 12:35:28.955587 1092.31267 1092.43278 1.20594613e-06
2020-07-08 12:35:29.018590 1092.31326 1092.43123 1.28940102e-06
2020-07-08 12:35:29.090594 1092.31437 1092.43072 1.30555358e-06
2020-07-08 12:35:29.170599 1092.31444 1092.43 1.23757823e-06
2020-07-08 12:35:29.247603 1092.31245 1092.4287 9.8182938e-07
2020-07-08 12:35:29.320608 1092.31407 1092.43088 1.04374752e-06
2020-07-08 12:35:29.391612 1092.31481 1092.43023 8.62031237e-07
2020-07-08 12:35:29.463616 1092.31341 1092.43075 1.07739869e-06
2020-07-08 12:35:29.545620 1092.31651 1092.43031 1.16892985e-06
2020-07-08 12:35:29.617625 1092.31629 1092.43023 1.23152102e-06
2020-07-08 12:35:29.688629 1092.31813 1092.43186 1.26248009e-06
2020-07-08 12:35:29.755632 1092.3171 1092.43127 1.29411193e-06
2020-07-08 12:35:29.815636 1092.31724 1092.43009 1.34795355e-06
2020-07-08 12:35:29.886640 1092.31769 1092.42957 1.21267539e-06
2020-07-08 12:35:29.972645 1092.31798 1092.4278 1.0773975e-06
2020-07-08 12:35:30.040649 1092.3168 1092.42913 8.74144497e-07
2020-07-08 12:35:30.124654 1092.31643 1092.42994 7.36174744e-07
2020-07-08 12:35:30.193658 1092.31665 1092.43141 8.66068219e-07
2020-07-08 12:35:30.269662 1092.31518 1092.42987 1.14268075e-06
2020-07-08 12:35:30.338666 1092.31363 1092.43156 1.207964e-06
2020-07-08 12:35:30.405670 1092.31407 1092.43141 1.36814352e-06
2020-07-08 12:35:30.483674 1092.31194 1092.43082 1.30286027e-06
2020-07-08 12:35:30.555678 1092.31326 1092.43348 1.36275933e-06
2020-07-08 12:35:30.624682 1092.31349 1092.43127 1.31901282e-06
2020-07-08 12:35:30.696686 1092.31466 1092.43237 1.32507003e-06
2020-07-08 12:35:30.756690 1092.31385 1092.43208 1.35804817e-06
2020-07-08 12:35:30.841695 1092.31621 1092.42928 1.38564212e-06
2020-07-08 12:35:30.919699 1092.31385 1092.43009 1.18575423e-06
2020-07-08 12:35:30.985703 1092.31363 1092.43031 1.1615254e-06
2020-07-08 12:35:31.058707 1092.31481 1092.43178 1.01144123e-06
2020-07-08 12:35:31.130711 1092.31474 1092.43296 9.48850071e-07
2020-07-08 12:35:31.198715 1092.31805 1092.43112 1.12922028e-06
2020-07-08 12:35:31.277720 1092.31732 1092.43237 1.30151422e-06
2020-07-08 12:35:31.353724 1092.31629 1092.43208 1.4953449e-06
2020-07-08 12:35:31.416727 1092.31732 1092.43326 1.43948397e-06
2020-07-08 12:35:31.481731 1092.31724 1092.43281 1.26719004e-06
2020-07-08 12:35:31.577737 1092.31688 1092.43282 9.93942624e-07
2020-07-08 12:35:31.649741 1092.3182 1092.43327 9.81828207e-07
2020-07-08 12:35:31.747746 1092.3182 1092.43268 1.04441936e-06
2020-07-08 12:35:31.829751 1092.31857 1092.43246 1.05586076e-06
2020-07-08 12:35:31.891755 1092.31783 1092.4321 1.05384169e-06
2020-07-08 12:35:31.970759 1092.31658 1092.43136 1.16758406e-06
2020-07-08 12:35:32.049764 1092.31511 1092.43291 1.29545986e-06
2020-07-08 12:35:32.119768 1092.31393 1092.43011 1.29276871e-06
2020-07-08 12:35:32.190772 1092.31452 1092.43018 1.25575335e-06
2020-07-08 12:35:32.269776 1092.31466 1092.42679 1.08076723e-06
2020-07-08 12:35:32.345781 1092.31621 1092.42649 9.8788998e-07
2020-07-08 12:35:32.415785 1092.3182 1092.42613 1.0000044e-06
2020-07-08 12:35:32.487789 1092.31835 1092.4293 1.03567465e-06
2020-07-08 12:35:32.563793 1092.31872 1092.4332 1.29546174e-06
2020-07-08 12:35:32.633797 1092.31776 1092.43416 1.40718365e-06
2020-07-08 12:35:32.712802 1092.31702 1092.43364 1.5343851e-06
2020-07-08 12:35:32.788806 1092.31312 1092.43283 1.26248359e-06
2020-07-08 12:35:32.857810 1092.31356 1092.43342 1.02894442e-06
2020-07-08 12:35:32.936814 1092.31304 1092.43254 9.99331381e-07
2020-07-08 12:35:32.992818 1092.3168 1092.43224 9.94620216e-07
2020-07-08 12:35:33.070822 1092.31636 1092.43047 1.17902867e-06
2020-07-08 12:35:33.149827 1092.31636 1092.42996 1.20796868e-06
2020-07-08 12:35:33.225831 1092.31665 1092.43077 1.18508588e-06
2020-07-08 12:35:33.294835 1092.31599 1092.43055 1.22075613e-06
2020-07-08 12:35:33.369839 1092.31643 1092.4304 1.31565245e-06
2020-07-08 12:35:33.443843 1092.31665 1092.4318 1.36478317e-06
2020-07-08 12:35:33.520848 1092.31688 1092.43195 1.39843435e-06
