Date_Time,RTD,Vsamp1(R1718),Vsamp2(R1516)
2020-02-27 11:16:59.361463,1102.06048,0.00195242,0.00194622
2020-02-27 11:16:59.913495,1102.1485,0.00195242,0.00194622
2020-02-27 11:17:00.462526,1102.22979,0.00195242,0.00194646
2020-02-27 11:17:01.009557,1102.3085,0.00195266,0.0019467
2020-02-27 11:17:01.556589,1102.38861,0.00195266,0.0019467
2020-02-27 11:17:02.108620,1102.47965,0.00195266,0.0019467
2020-02-27 11:17:02.662652,1102.56557,0.00195266,0.0019467
2020-02-27 11:17:03.232685,1102.66315,0.00195266,0.0019467
2020-02-27 11:17:03.811718,1102.75919,0.00195289,0.00194693
2020-02-27 11:17:04.368749,1102.86188,0.00195314,0.00194693
2020-02-27 11:17:04.925781,1102.96719,0.00195314,0.00194717
2020-02-27 11:17:05.498814,1103.07044,0.00195338,0.00194717
2020-02-27 11:17:06.076847,1103.18141,0.00195338,0.00194717
2020-02-27 11:17:06.634879,1103.29814,0.00195338,0.00194741
2020-02-27 11:17:07.189911,1103.40448,0.00195362,0.00194765
2020-02-27 11:17:07.760944,1103.51606,0.00195362,0.00194765
2020-02-27 11:17:08.335976,1103.64074,0.00195386,0.00194765
2020-02-27 11:17:08.895008,1103.76654,0.00195386,0.00194789
2020-02-27 11:17:09.455040,1103.88696,0.00195386,0.00194789
2020-02-27 11:17:10.024073,1104.01409,0.00195409,0.00194813
2020-02-27 11:17:10.579105,1104.13237,0.00195409,0.00194836
2020-02-27 11:17:11.149137,1104.27125,0.00195433,0.00194836
2020-02-27 11:17:11.702169,1104.40338,0.00195433,0.00194836
2020-02-27 11:17:12.258201,1104.53294,0.00195433,0.00194836
2020-02-27 11:17:12.829233,1104.66765,0.00195457,0.0019486
2020-02-27 11:17:13.385265,1104.80965,0.00195481,0.00194884
2020-02-27 11:17:13.957298,1104.95284,0.00195505,0.00194884
2020-02-27 11:17:14.511330,1105.09153,0.00195505,0.00194908
2020-02-27 11:17:15.068361,1105.23332,0.00195505,0.00194908
2020-02-27 11:17:15.643394,1105.37946,0.00195529,0.00194932
2020-02-27 11:17:16.201426,1105.52405,0.00195552,0.00194956
2020-02-27 11:17:16.770459,1105.66842,0.00195552,0.00194979
2020-02-27 11:17:17.326491,1105.82701,0.00195552,0.00194979
2020-02-27 11:17:17.886523,1105.97533,0.00195576,0.00195003
2020-02-27 11:17:18.457555,1106.1253,0.001956,0.00195003
2020-02-27 11:17:19.016587,1106.27129,0.001956,0.00195027
2020-02-27 11:17:19.586620,1106.43924,0.00195624,0.00195051
2020-02-27 11:17:20.138651,1106.58571,0.00195648,0.00195051
2020-02-27 11:17:20.693683,1106.73236,0.00195672,0.00195075
2020-02-27 11:17:21.250715,1106.88196,0.00195672,0.00195075
2020-02-27 11:17:21.819748,1107.03908,0.00195695,0.00195099
2020-02-27 11:17:22.394781,1107.19661,0.00195719,0.00195099
2020-02-27 11:17:22.948812,1107.35026,0.00195719,0.00195123
2020-02-27 11:17:23.511844,1107.50708,0.00195719,0.00195146
2020-02-27 11:17:24.086877,1107.6698,0.00195743,0.0019517
2020-02-27 11:17:24.647909,1107.82162,0.00195767,0.0019517
2020-02-27 11:17:25.215942,1107.9819,0.00195767,0.00195218
2020-02-27 11:17:25.774974,1108.14639,0.00195791,0.00195218
2020-02-27 11:17:26.330006,1108.30683,0.00195815,0.00195218
2020-02-27 11:17:26.885037,1108.4586,0.00195839,0.00195242
2020-02-27 11:17:27.441069,1108.62699,0.00195839,0.00195266
2020-02-27 11:17:28.007102,1108.79207,0.00195862,0.00195266
2020-02-27 11:17:28.567134,1108.94499,0.00195886,0.00195314
2020-02-27 11:17:29.124165,1109.11972,0.00195886,0.00195338
2020-02-27 11:17:29.689198,1109.29039,0.0019591,0.00195338
2020-02-27 11:17:30.251230,1109.45613,0.00195934,0.00195362
2020-02-27 11:17:30.819262,1109.62018,0.00195934,0.00195362
2020-02-27 11:17:31.380294,1109.79137,0.00195958,0.00195386
2020-02-27 11:17:31.938326,1109.96014,0.00195982,0.00195386
2020-02-27 11:17:32.484358,1110.12293,0.00195982,0.00195409
2020-02-27 11:17:33.044390,1110.30311,0.00196005,0.00195433
2020-02-27 11:17:33.616422,1110.4701,0.00196029,0.00195433
2020-02-27 11:17:34.169454,1110.64152,0.00196053,0.00195481
2020-02-27 11:17:34.725486,1110.81478,0.00196053,0.00195505
2020-02-27 11:17:35.299519,1110.99268,0.00196077,0.00195505
2020-02-27 11:17:35.855550,1111.16589,0.00196101,0.00195529
2020-02-27 11:17:36.426583,1111.3474,0.00196101,0.00195552
2020-02-27 11:17:36.984615,1111.53842,0.00196125,0.00195552
2020-02-27 11:17:37.544647,1111.70534,0.00196148,0.00195576
2020-02-27 11:17:38.115680,1111.89598,0.00196148,0.001956
2020-02-27 11:17:38.689713,1112.07838,0.00196172,0.001956
2020-02-27 11:17:39.247744,1112.26173,0.00196196,0.00195624
2020-02-27 11:17:39.807776,1112.45356,0.0019622,0.00195648
2020-02-27 11:17:40.378809,1112.6539,0.0019622,0.00195672
2020-02-27 11:17:40.951842,1112.82988,0.00196244,0.00195695
2020-02-27 11:17:41.509874,1113.03004,0.00196268,0.00195719
2020-02-27 11:17:42.065906,1113.21642,0.00196292,0.00195719
2020-02-27 11:17:42.635938,1113.41259,0.00196315,0.00195719
2020-02-27 11:17:43.212971,1113.61083,0.00196315,0.00195767
2020-02-27 11:17:43.767003,1113.81195,0.00196339,0.00195791
2020-02-27 11:17:44.345036,1114.0096,0.00196363,0.00195815
2020-02-27 11:17:44.918069,1114.21251,0.00196387,0.00195839
2020-02-27 11:17:45.473101,1114.41105,0.00196387,0.00195839
2020-02-27 11:17:46.035133,1114.60929,0.00196435,0.00195862
2020-02-27 11:17:46.651168,1114.8404,0.00196435,0.00195886
2020-02-27 11:17:47.380210,1115.10124,0.00196482,0.0019591
2020-02-27 11:17:47.936241,1115.30044,0.00196482,0.00195934
2020-02-27 11:17:48.496273,1115.51415,0.00196506,0.00195958
2020-02-27 11:17:49.054305,1115.7107,0.0019653,0.00195982
2020-02-27 11:17:49.636339,1115.92117,0.00196554,0.00195982
2020-02-27 11:17:50.187370,1116.14675,0.00196554,0.00196005
2020-02-27 11:17:50.751402,1116.35287,0.00196601,0.00196029
2020-02-27 11:17:51.307434,1116.56585,0.00196601,0.00196053
2020-02-27 11:17:51.882467,1116.78321,0.00196625,0.00196077
2020-02-27 11:17:52.436499,1117.01166,0.00196649,0.00196101
2020-02-27 11:17:53.008532,1117.21779,0.00196673,0.00196125
2020-02-27 11:17:53.560563,1117.44145,0.00196697,0.00196148
2020-02-27 11:17:54.108594,1117.66243,0.00196721,0.00196148
2020-02-27 11:17:54.659626,1117.87468,0.00196745,0.00196172
2020-02-27 11:17:55.216658,1118.09303,0.00196768,0.0019622
2020-02-27 11:17:55.766689,1118.31331,0.00196768,0.0019622
2020-02-27 11:17:56.343722,1118.54176,0.00196816,0.00196268
2020-02-27 11:17:56.898754,1118.76108,0.00196816,0.00196268
2020-02-27 11:17:57.450786,1118.99005,0.0019684,0.00196292
2020-02-27 11:17:58.015818,1119.2258,0.00196888,0.00196315
2020-02-27 11:17:58.571850,1119.44739,0.00196888,0.00196339
2020-02-27 11:17:59.137882,1119.66929,0.00196911,0.00196363
2020-02-27 11:17:59.695914,1119.90555,0.00196935,0.00196387
2020-02-27 11:18:00.258946,1120.13349,0.00196959,0.00196411
2020-02-27 11:18:00.821978,1120.35959,0.00196983,0.00196435
2020-02-27 11:18:01.378010,1120.59998,0.00197007,0.00196458
2020-02-27 11:18:01.949043,1120.84627,0.00197031,0.00196482
2020-02-27 11:18:02.510075,1121.06964,0.00197054,0.00196482
2020-02-27 11:18:03.059106,1121.31109,0.00197078,0.0019653
2020-02-27 11:18:03.625139,1121.55989,0.00197102,0.00196554
2020-02-27 11:18:04.174170,1121.78636,0.00197126,0.00196578
2020-02-27 11:18:04.727202,1122.01614,0.0019715,0.00196601
2020-02-27 11:18:05.288234,1122.25778,0.0019715,0.00196601
2020-02-27 11:18:05.854266,1122.5096,0.00197197,0.00196649
2020-02-27 11:18:06.426299,1122.74108,0.00197221,0.00196673
2020-02-27 11:18:06.981331,1122.98774,0.00197221,0.00196697
2020-02-27 11:18:07.533362,1123.22954,0.00197269,0.00196721
2020-02-27 11:18:08.106395,1123.46726,0.00197293,0.00196745
2020-02-27 11:18:08.679428,1123.72402,0.00197317,0.00196768
2020-02-27 11:18:09.232459,1123.96847,0.00197341,0.00196792
2020-02-27 11:18:09.788491,1124.21542,0.00197364,0.00196816
2020-02-27 11:18:10.366524,1124.46952,0.00197388,0.0019684
2020-02-27 11:18:10.924556,1124.72207,0.00197412,0.00196864
2020-02-27 11:18:11.494589,1124.95746,0.00197436,0.00196888
2020-02-27 11:18:12.047621,1125.22632,0.0019746,0.00196935
2020-02-27 11:18:12.605652,1125.46112,0.00197484,0.00196935
2020-02-27 11:18:13.177685,1125.71927,0.00197507,0.00196983
2020-02-27 11:18:13.733717,1125.9576,0.00197531,0.00196983
2020-02-27 11:18:14.285749,1126.22639,0.00197555,0.00197031
2020-02-27 11:18:14.848781,1126.46779,0.00197579,0.00197054
2020-02-27 11:18:15.440815,1126.74599,0.00197603,0.00197078
2020-02-27 11:18:16.005847,1127.00024,0.0019765,0.00197102
2020-02-27 11:18:16.558879,1127.25485,0.0019765,0.00197126
2020-02-27 11:18:17.139912,1127.51507,0.00197698,0.0019715
2020-02-27 11:18:17.713945,1127.77426,0.00197698,0.00197174
2020-02-27 11:18:18.267976,1128.02954,0.00197746,0.00197197
2020-02-27 11:18:18.824008,1128.29103,0.0019777,0.00197221
2020-02-27 11:18:19.400041,1128.55155,0.00197794,0.00197269
2020-02-27 11:18:19.956073,1128.81339,0.00197817,0.00197269
2020-02-27 11:18:20.526105,1129.06211,0.00197841,0.00197317
2020-02-27 11:18:21.083137,1129.33824,0.00197865,0.00197341
2020-02-27 11:18:21.630169,1129.59036,0.00197889,0.00197364
2020-02-27 11:18:22.187200,1129.83614,0.00197937,0.00197388
2020-02-27 11:18:22.735232,1130.09974,0.00197937,0.00197412
2020-02-27 11:18:23.296264,1130.35464,0.00197984,0.00197436
2020-02-27 11:18:23.856296,1130.61528,0.00197984,0.00197484
2020-02-27 11:18:24.411328,1130.87719,0.00198032,0.00197484
2020-02-27 11:18:24.976360,1131.14647,0.00198032,0.00197531
2020-02-27 11:18:25.537392,1131.39414,0.0019808,0.00197555
2020-02-27 11:18:26.094424,1131.66342,0.00198103,0.00197579
2020-02-27 11:18:26.663456,1131.92599,0.00198127,0.00197603
2020-02-27 11:18:27.224489,1132.16734,0.00198151,0.00197627
2020-02-27 11:18:27.794521,1132.40966,0.00198175,0.0019765
2020-02-27 11:18:28.352553,1132.6564,0.00198199,0.00197674
2020-02-27 11:18:28.909585,1132.8839,0.00198223,0.00197698
2020-02-27 11:18:29.482618,1133.11456,0.0019827,0.00197722
2020-02-27 11:18:30.059651,1133.3428,0.0019827,0.00197746
2020-02-27 11:18:30.611682,1133.58223,0.00198318,0.0019777
2020-02-27 11:18:31.158714,1133.79787,0.00198318,0.00197817
2020-02-27 11:18:31.706745,1134.00915,0.00198366,0.00197817
2020-02-27 11:18:32.252776,1134.23178,0.00198366,0.00197841
2020-02-27 11:18:32.801808,1134.4466,0.0019839,0.00197865
2020-02-27 11:18:33.356839,1134.6542,0.00198437,0.00197889
2020-02-27 11:18:33.906871,1134.87492,0.00198437,0.00197913
2020-02-27 11:18:34.480904,1135.09696,0.00198485,0.00197937
2020-02-27 11:18:35.057937,1135.31592,0.00198485,0.0019796
2020-02-27 11:18:35.610968,1135.53155,0.00198533,0.00197984
2020-02-27 11:18:36.171000,1135.746,0.00198533,0.00198008
2020-02-27 11:18:36.726032,1135.95309,0.00198556,0.00198032
2020-02-27 11:18:37.278064,1136.15874,0.00198604,0.00198056
2020-02-27 11:18:37.833095,1136.37017,0.00198604,0.0019808
2020-02-27 11:18:38.407128,1136.59222,0.00198628,0.00198103
2020-02-27 11:18:38.964160,1136.79643,0.00198652,0.00198127
2020-02-27 11:18:39.527192,1136.99735,0.00198676,0.00198151
2020-02-27 11:18:40.085224,1137.21549,0.001987,0.00198175
2020-02-27 11:18:40.652257,1137.41616,0.00198723,0.00198199
2020-02-27 11:18:41.210289,1137.61654,0.00198747,0.00198223
2020-02-27 11:18:41.760320,1137.8245,0.00198771,0.00198247
2020-02-27 11:18:42.312352,1138.02134,0.00198795,0.0019827
2020-02-27 11:18:42.884384,1138.22297,0.00198819,0.00198294
2020-02-27 11:18:43.461417,1138.42379,0.00198819,0.00198318
2020-02-27 11:18:44.019449,1138.6307,0.00198866,0.00198318
2020-02-27 11:18:44.578481,1138.82253,0.00198866,0.00198342
2020-02-27 11:18:45.150514,1139.02106,0.0019889,0.00198366
2020-02-27 11:18:45.727547,1139.21495,0.00198938,0.0019839
