Date Time RTDl RTDr Vsamp
2020-06-23 10:52:05.577544 1090.29526 1090.47948 2.8663229e-06
2020-06-23 10:52:05.650548 1090.29452 1090.48043 2.88853273e-06
2020-06-23 10:52:05.727552 1090.29378 1090.48168 2.90670441e-06
2020-06-23 10:52:05.808557 1090.29548 1090.48345 2.98881348e-06
2020-06-23 10:52:05.865560 1090.29474 1090.48168 2.81517299e-06
2020-06-23 10:52:05.960566 1090.29776 1090.47999 2.81719207e-06
2020-06-23 10:52:06.020569 1090.29857 1090.48006 2.92958726e-06
2020-06-23 10:52:06.097574 1090.2968 1090.47991 2.92622228e-06
2020-06-23 10:52:06.164577 1090.29783 1090.48124 2.91208904e-06
2020-06-23 10:52:06.249582 1090.29467 1090.48161 2.84209497e-06
2020-06-23 10:52:06.330587 1090.29599 1090.48058 2.81046321e-06
2020-06-23 10:52:06.411592 1090.29562 1090.48035 2.76402447e-06
2020-06-23 10:52:06.499597 1090.29621 1090.48183 2.81853952e-06
2020-06-23 10:52:06.579601 1090.29636 1090.48279 2.96323994e-06
2020-06-23 10:52:06.661606 1090.29481 1090.48308 3.09986406e-06
2020-06-23 10:52:06.737610 1090.29791 1090.48301 3.18735734e-06
2020-06-23 10:52:06.815615 1090.29968 1090.48367 2.95987481e-06
2020-06-23 10:52:06.879618 1090.29997 1090.48404 2.95112549e-06
2020-06-23 10:52:06.961623 1090.29953 1090.48404 2.778158e-06
2020-06-23 10:52:07.040628 1090.29717 1090.48227 2.92083935e-06
2020-06-23 10:52:07.108631 1090.29666 1090.4819 2.98410372e-06
2020-06-23 10:52:07.180636 1090.29769 1090.48227 3.03727271e-06
2020-06-23 10:52:07.250640 1090.29658 1090.48234 2.97064322e-06
2020-06-23 10:52:07.331644 1090.29747 1090.48286 2.991507e-06
2020-06-23 10:52:07.407649 1090.29596 1090.48161 2.83334607e-06
2020-06-23 10:52:07.478653 1090.29375 1090.48006 2.64489901e-06
2020-06-23 10:52:07.539656 1090.29349 1090.48043 2.61663195e-06
2020-06-23 10:52:07.602660 1090.29198 1090.48013 2.67585817e-06
2020-06-23 10:52:07.674664 1090.29352 1090.48131 2.63076548e-06
2020-06-23 10:52:07.749668 1090.29662 1090.48116 2.82930792e-06
2020-06-23 10:52:07.818672 1090.29787 1090.4838 2.88247691e-06
2020-06-23 10:52:07.896677 1090.29772 1090.48445 3.03323456e-06
2020-06-23 10:52:07.969681 1090.29721 1090.48318 3.12745809e-06
